referencia,descripcion,op,cantidad,detalles
MV2129,VESTIDO CORTO DE TIRAS CON BOLSILLOS LATERAL  EN TEJIDO PLAN,2362,390,"[[""035"",""CAFÉ"",""MV2129"",""M"",12,""9990001133023""],[""035"",""CAFÉ"",""MV2129"",""L"",12,""9990001133030""],[""035"",""CAFÉ"",""MV2129"",""XL"",12,""9990001133047""],[""115"",""ROJO"",""MV2129"",""M"",30,""9990001159672""],[""115"",""ROJO"",""MV2129"",""L"",30,""9990001159689""],[""115"",""ROJO"",""MV2129"",""XL"",30,""9990001159696""],[""155"",""VERDE SALVIA"",""MV2129"",""M"",20,""9990001087746""],[""155"",""VERDE SALVIA"",""MV2129"",""L"",20,""9990001087753""],[""155"",""VERDE SALVIA"",""MV2129"",""XL"",20,""9990001087760""],[""157"",""VINO TINTO"",""MV2129"",""M"",68,""9990001087784""],[""157"",""VINO TINTO"",""MV2129"",""L"",68,""9990001087791""],[""157"",""VINO TINTO"",""MV2129"",""XL"",68,""9990001087807""]]"
MV2129,VESTIDO CORTO DE TIRAS CON BOLSILLOS LATERAL  EN TEJIDO PLAN,2363,354,"[[""115"",""ROJO"",""MV2129"",""M"",20,""9990001159672""],[""115"",""ROJO"",""MV2129"",""L"",20,""9990001159689""],[""115"",""ROJO"",""MV2129"",""XL"",20,""9990001159696""],[""149"",""VERDE MANZANA"",""MV2129"",""M"",16,""9990001159894""],[""149"",""VERDE MANZANA"",""MV2129"",""L"",16,""9990001159900""],[""149"",""VERDE MANZANA"",""MV2129"",""XL"",16,""9990001159917""],[""157"",""VINO TINTO"",""MV2129"",""M"",82,""9990001087784""],[""157"",""VINO TINTO"",""MV2129"",""L"",82,""9990001087791""],[""157"",""VINO TINTO"",""MV2129"",""XL"",82,""9990001087807""]]"
MV2129,VESTIDO CORTO DE TIRAS CON BOLSILLOS LATERAL  EN TEJIDO PLAN,2364,390,"[[""008"",""ARENA"",""MV2129"",""M"",32,""9990001159801""],[""008"",""ARENA"",""MV2129"",""L"",32,""9990001159818""],[""008"",""ARENA"",""MV2129"",""XL"",32,""9990001159825""],[""090"",""NEGRO"",""MV2129"",""M"",66,""9990001031015""],[""090"",""NEGRO"",""MV2129"",""L"",66,""9990001031022""],[""090"",""NEGRO"",""MV2129"",""XL"",66,""9990001031039""],[""105"",""PALO DE ROSA"",""MV2129"",""M"",16,""9990001159740""],[""105"",""PALO DE ROSA"",""MV2129"",""L"",16,""9990001159757""],[""105"",""PALO DE ROSA"",""MV2129"",""XL"",16,""9990001159764""],[""157"",""VINO TINTO"",""MV2129"",""M"",16,""9990001087784""],[""157"",""VINO TINTO"",""MV2129"",""L"",16,""9990001087791""],[""157"",""VINO TINTO"",""MV2129"",""XL"",16,""9990001087807""]]"
MV2129,VESTIDO CORTO DE TIRAS CON BOLSILLOS LATERAL  EN TEJIDO PLAN,2365,342,"[[""038"",""CAMEL"",""MV2129"",""M"",46,""9990001159863""],[""038"",""CAMEL"",""MV2129"",""L"",46,""9990001159870""],[""038"",""CAMEL"",""MV2129"",""XL"",46,""9990001159887""],[""090"",""NEGRO"",""MV2129"",""M"",14,""9990001031015""],[""090"",""NEGRO"",""MV2129"",""L"",14,""9990001031022""],[""090"",""NEGRO"",""MV2129"",""XL"",14,""9990001031039""],[""157"",""VINO TINTO"",""MV2129"",""M"",24,""9990001087784""],[""157"",""VINO TINTO"",""MV2129"",""L"",24,""9990001087791""],[""157"",""VINO TINTO"",""MV2129"",""XL"",24,""9990001087807""],[""160"",""AZUL"",""MV2129"",""M"",30,""9990001088071""],[""160"",""AZUL"",""MV2129"",""L"",30,""9990001088088""],[""160"",""AZUL"",""MV2129"",""XL"",30,""9990001088095""]]"
MB6833,"BLUSA DAMA, CUELLO EN V MANGA RODADA,  LLEVA  4 TABLONES EN",2368,192,"[[""013"",""AZUL CLARO"",""MB6833"",""S"",28,""9990001159924""],[""013"",""AZUL CLARO"",""MB6833"",""M"",28,""9990001159931""],[""090"",""NEGRO"",""MB6833"",""S"",38,""9990001159962""],[""090"",""NEGRO"",""MB6833"",""M"",38,""9990001159979""],[""105"",""PALO DE ROSA"",""MB6833"",""S"",30,""9990001159986""],[""105"",""PALO DE ROSA"",""MB6833"",""M"",30,""9990001159993""]]"
U24002,CAMISETA MGA CORTA CUELLO REDONDO CON ESTAMPADO EN DEL,2369,434,"[[""024"",""BEIGE"",""U24002"",""S"",20,""9990001161712""],[""024"",""BEIGE"",""U24002"",""M"",42,""9990001161729""],[""024"",""BEIGE"",""U24002"",""L"",40,""9990001161736""],[""024"",""BEIGE"",""U24002"",""XL"",40,""9990001161743""],[""151"",""VERDE MILITAR"",""U24002"",""S"",21,""9990001161750""],[""151"",""VERDE MILITAR"",""U24002"",""M"",44,""9990001161767""],[""151"",""VERDE MILITAR"",""U24002"",""L"",42,""9990001161774""],[""151"",""VERDE MILITAR"",""U24002"",""XL"",42,""9990001161781""],[""157"",""VINO TINTO"",""U24002"",""S"",20,""9990001161798""],[""157"",""VINO TINTO"",""U24002"",""M"",43,""9990001161804""],[""157"",""VINO TINTO"",""U24002"",""L"",40,""9990001161811""],[""157"",""VINO TINTO"",""U24002"",""XL"",40,""9990001161828""]]"
301077,VESTIDO LARGO DE BOLEROS PARA DAMA,2370,316,"[[""016"",""AZUL HORTENSIA"",""301077"",""S"",14,""9990001166717""],[""016"",""AZUL HORTENSIA"",""301077"",""M"",28,""9990001166724""],[""016"",""AZUL HORTENSIA"",""301077"",""L"",14,""9990001166731""],[""024"",""BEIGE"",""301077"",""S"",18,""9990001166748""],[""024"",""BEIGE"",""301077"",""M"",36,""9990001166755""],[""024"",""BEIGE"",""301077"",""L"",18,""9990001166762""],[""072"",""KAKY"",""301077"",""S"",18,""9990001166779""],[""072"",""KAKY"",""301077"",""M"",36,""9990001166786""],[""072"",""KAKY"",""301077"",""L"",18,""9990001166793""],[""090"",""NEGRO"",""301077"",""S"",12,""9990001166809""],[""090"",""NEGRO"",""301077"",""M"",24,""9990001166816""],[""090"",""NEGRO"",""301077"",""L"",12,""9990001166823""],[""157"",""VINO TINTO"",""301077"",""S"",17,""9990001166830""],[""157"",""VINO TINTO"",""301077"",""M"",34,""9990001166847""],[""157"",""VINO TINTO"",""301077"",""L"",17,""9990001166854""]]"
140200,ENTERIZO SHORT    CON BOLSILLOS    DE TIRAS    TEJIDO PLANO,2371,490,"[[""024"",""BEIGE"",""140200"",""M"",108,""9990001159559""],[""024"",""BEIGE"",""140200"",""L"",72,""9990001159566""],[""024"",""BEIGE"",""140200"",""XL"",72,""9990001159573""],[""026"",""BLANCO"",""140200"",""M"",102,""9990001159580""],[""026"",""BLANCO"",""140200"",""L"",68,""9990001159597""],[""026"",""BLANCO"",""140200"",""XL"",68,""9990001159603""]]"
140200,ENTERIZO SHORT    CON BOLSILLOS    DE TIRAS    TEJIDO PLANO,2372,511,"[[""035"",""CAFÉ"",""140200"",""M"",108,""9990001159832""],[""035"",""CAFÉ"",""140200"",""L"",72,""9990001159849""],[""035"",""CAFÉ"",""140200"",""XL"",72,""9990001159856""],[""090"",""NEGRO"",""140200"",""M"",111,""9990001024727""],[""090"",""NEGRO"",""140200"",""L"",74,""9990001024734""],[""090"",""NEGRO"",""140200"",""XL"",74,""9990001024741""]]"
140200,ENTERIZO SHORT    CON BOLSILLOS    DE TIRAS    TEJIDO PLANO,2373,273,"[[""105"",""PALO DE ROSA"",""140200"",""M"",117,""9990001040970""],[""105"",""PALO DE ROSA"",""140200"",""L"",78,""9990001040987""],[""105"",""PALO DE ROSA"",""140200"",""XL"",78,""9990001040994""]]"
140200,ENTERIZO SHORT    CON BOLSILLOS    DE TIRAS    TEJIDO PLANO,2374,315,"[[""013"",""AZUL CLARO"",""140200"",""M"",135,""9990001024642""],[""013"",""AZUL CLARO"",""140200"",""L"",90,""9990001024659""],[""013"",""AZUL CLARO"",""140200"",""XL"",90,""9990001024666""]]"
P12964,EAN DAMA SKINNY 5 BOLSILLOS EN DENIM  STRETCH,2377,812,"[[""160"",""AZUL"",""P12964"",""6"",136,""9990001153991""],[""160"",""AZUL"",""P12964"",""8"",136,""9990001154004""],[""160"",""AZUL"",""P12964"",""10"",200,""9990001154011""],[""160"",""AZUL"",""P12964"",""12"",136,""9990001154028""],[""160"",""AZUL"",""P12964"",""14"",136,""9990001154035""],[""160"",""AZUL"",""P12964"",""16"",68,""9990001154042""]]"
D21422,POLO MANGA CORTA CON CUELLO ESCOTE EN V,2378,202,"[[""024"",""BEIGE"",""D21422"",""S"",12,""9990001007935""],[""024"",""BEIGE"",""D21422"",""M"",24,""9990001007942""],[""024"",""BEIGE"",""D21422"",""L"",24,""9990001007959""],[""024"",""BEIGE"",""D21422"",""XL"",24,""9990001007966""],[""090"",""NEGRO"",""D21422"",""S"",16,""9990001007973""],[""090"",""NEGRO"",""D21422"",""M"",38,""9990001007980""],[""090"",""NEGRO"",""D21422"",""L"",32,""9990001007997""],[""090"",""NEGRO"",""D21422"",""XL"",32,""9990001008000""]]"
S11136,JORTS DAMA 5 BOLSILLOS CON CORTES EN POSTERIORENDENIM RIGIDO,2379,804,"[[""160"",""AZUL"",""S11136"",""6"",176,""9990001159511""],[""160"",""AZUL"",""S11136"",""8"",276,""9990001159528""],[""160"",""AZUL"",""S11136"",""10"",264,""9990001159535""],[""160"",""AZUL"",""S11136"",""12"",88,""9990001159542""]]"
P31058,JEAN HOMBRE 5 BOLSILLOS EN DENIM RÍGIDO,2380,957,"[[""160"",""AZUL"",""P31058"",""32"",377,""9990001159108""],[""160"",""AZUL"",""P31058"",""34"",348,""9990001159115""],[""160"",""AZUL"",""P31058"",""36"",232,""9990001159122""]]"
P31058,JEAN HOMBRE 5 BOLSILLOS EN DENIM RÍGIDO,2381,840,"[[""090"",""NEGRO"",""P31058"",""30"",204,""9990001161675""],[""090"",""NEGRO"",""P31058"",""32"",228,""9990001161682""],[""090"",""NEGRO"",""P31058"",""34"",204,""9990001161699""],[""090"",""NEGRO"",""P31058"",""36"",204,""9990001161705""]]"
DD3001,DUO PANTALONETA DE NIÑO CORTA  ECONOMICA    TEJIDO PLANO,2382,8,"[[""026"",""BLANCO"",""DD3001"",""M"",1,""9990001154257""],[""035"",""CAFÉ"",""DD3001"",""M"",2,""9990001154264""],[""057"",""GRIS CLARO"",""DD3001"",""M"",3,""9990001154271""],[""090"",""NEGRO"",""DD3001"",""M"",2,""9990001154288""]]"
P31058,JEAN HOMBRE 5 BOLSILLOS EN DENIM RÍGIDO,2383,940,"[[""160"",""AZUL"",""P31058"",""30"",112,""9990001159139""],[""160"",""AZUL"",""P31058"",""32"",268,""9990001159108""],[""160"",""AZUL"",""P31058"",""34"",336,""9990001159115""],[""160"",""AZUL"",""P31058"",""36"",224,""9990001159122""]]"
P31058,JEAN HOMBRE 5 BOLSILLOS EN DENIM RÍGIDO,2384,737,"[[""017"",""AZUL INDIGO"",""P31058"",""30"",86,""9990001162580""],[""017"",""AZUL INDIGO"",""P31058"",""32"",221,""9990001162597""],[""017"",""AZUL INDIGO"",""P31058"",""34"",258,""9990001162603""],[""017"",""AZUL INDIGO"",""P31058"",""36"",172,""9990001162610""]]"
P31058,JEAN HOMBRE 5 BOLSILLOS EN DENIM RÍGIDO,2385,751,"[[""160"",""AZUL"",""P31058"",""32"",217,""9990001159108""],[""160"",""AZUL"",""P31058"",""34"",267,""9990001159115""],[""160"",""AZUL"",""P31058"",""36"",267,""9990001159122""]]"
MB7072,BLUSA PARA DAMA MANGA 3/4 CUELLO EN V CON ALFORZASY CINTURON,2386,272,"[[""013"",""AZUL CLARO"",""MB7072"",""S"",14,""9990001164799""],[""013"",""AZUL CLARO"",""MB7072"",""M"",28,""9990001164805""],[""013"",""AZUL CLARO"",""MB7072"",""L"",14,""9990001164812""],[""072"",""KAKY"",""MB7072"",""S"",9,""9990001164829""],[""072"",""KAKY"",""MB7072"",""M"",18,""9990001164836""],[""072"",""KAKY"",""MB7072"",""L"",9,""9990001164843""],[""090"",""NEGRO"",""MB7072"",""S"",19,""9990001164850""],[""090"",""NEGRO"",""MB7072"",""M"",38,""9990001164867""],[""090"",""NEGRO"",""MB7072"",""L"",19,""9990001164874""],[""103"",""OFF WHITE"",""MB7072"",""S"",13,""9990001164881""],[""103"",""OFF WHITE"",""MB7072"",""M"",26,""9990001164898""],[""103"",""OFF WHITE"",""MB7072"",""L"",13,""9990001164904""],[""115"",""ROJO"",""MB7072"",""S"",13,""9990001164911""],[""115"",""ROJO"",""MB7072"",""M"",26,""9990001164928""],[""115"",""ROJO"",""MB7072"",""L"",13,""9990001164935""]]"
MB6918,"BLUSA DAMA ESCOTADA MANGA CORTA, TIENE CANALES EN CENTRO DEL",2387,225,"[[""090"",""NEGRO"",""MB6918"",""S"",15,""9990001162450""],[""090"",""NEGRO"",""MB6918"",""M"",30,""9990001162467""],[""090"",""NEGRO"",""MB6918"",""L"",30,""9990001162474""],[""105"",""PALO DE ROSA"",""MB6918"",""S"",15,""9990001162481""],[""105"",""PALO DE ROSA"",""MB6918"",""M"",30,""9990001162498""],[""105"",""PALO DE ROSA"",""MB6918"",""L"",30,""9990001162504""],[""157"",""VINO TINTO"",""MB6918"",""S"",15,""9990001162511""],[""157"",""VINO TINTO"",""MB6918"",""M"",30,""9990001162528""],[""157"",""VINO TINTO"",""MB6918"",""L"",30,""9990001162535""]]"
140303,"ENTERIZO PANTALON LARGO, DE TIRAS CON BOLSILLOS EN DELANTERO",2388,552,"[[""035"",""CAFÉ"",""140303"",""M"",28,""9990001162153""],[""035"",""CAFÉ"",""140303"",""L"",28,""9990001162160""],[""035"",""CAFÉ"",""140303"",""XL"",28,""9990001162177""],[""036"",""CAFÉ CLARO"",""140303"",""M"",20,""9990001162184""],[""036"",""CAFÉ CLARO"",""140303"",""L"",20,""9990001162191""],[""036"",""CAFÉ CLARO"",""140303"",""XL"",20,""9990001162207""],[""072"",""KAKY"",""140303"",""M"",20,""9990001162214""],[""072"",""KAKY"",""140303"",""L"",20,""9990001162221""],[""072"",""KAKY"",""140303"",""XL"",20,""9990001162238""],[""090"",""NEGRO"",""140303"",""M"",26,""9990001162245""],[""090"",""NEGRO"",""140303"",""L"",26,""9990001162252""],[""090"",""NEGRO"",""140303"",""XL"",26,""9990001162269""],[""103"",""OFF WHITE"",""140303"",""M"",28,""9990001162276""],[""103"",""OFF WHITE"",""140303"",""L"",28,""9990001162283""],[""103"",""OFF WHITE"",""140303"",""XL"",28,""9990001162290""],[""155"",""VERDE SALVIA"",""140303"",""M"",20,""9990001162306""],[""155"",""VERDE SALVIA"",""140303"",""L"",20,""9990001162313""],[""155"",""VERDE SALVIA"",""140303"",""XL"",20,""9990001162320""],[""157"",""VINO TINTO"",""140303"",""M"",20,""9990001162337""],[""157"",""VINO TINTO"",""140303"",""L"",20,""9990001162344""],[""157"",""VINO TINTO"",""140303"",""XL"",20,""9990001162351""],[""191"",""MARRON"",""140303"",""M"",22,""9990001162368""],[""191"",""MARRON"",""140303"",""L"",22,""9990001162375""],[""191"",""MARRON"",""140303"",""XL"",22,""9990001162382""]]"
140303,"ENTERIZO PANTALON LARGO, DE TIRAS CON BOLSILLOS EN DELANTERO",2389,555,"[[""035"",""CAFÉ"",""140303"",""M"",26,""9990001162153""],[""035"",""CAFÉ"",""140303"",""L"",26,""9990001162160""],[""035"",""CAFÉ"",""140303"",""XL"",26,""9990001162177""],[""036"",""CAFÉ CLARO"",""140303"",""M"",22,""9990001162184""],[""036"",""CAFÉ CLARO"",""140303"",""L"",22,""9990001162191""],[""036"",""CAFÉ CLARO"",""140303"",""XL"",22,""9990001162207""],[""072"",""KAKY"",""140303"",""M"",24,""9990001162214""],[""072"",""KAKY"",""140303"",""L"",24,""9990001162221""],[""072"",""KAKY"",""140303"",""XL"",24,""9990001162238""],[""090"",""NEGRO"",""140303"",""M"",25,""9990001162245""],[""090"",""NEGRO"",""140303"",""L"",22,""9990001162252""],[""090"",""NEGRO"",""140303"",""XL"",22,""9990001162269""],[""103"",""OFF WHITE"",""140303"",""M"",24,""9990001162276""],[""103"",""OFF WHITE"",""140303"",""L"",24,""9990001162283""],[""103"",""OFF WHITE"",""140303"",""XL"",24,""9990001162290""],[""155"",""VERDE SALVIA"",""140303"",""M"",20,""9990001162306""],[""155"",""VERDE SALVIA"",""140303"",""L"",20,""9990001162313""],[""155"",""VERDE SALVIA"",""140303"",""XL"",20,""9990001162320""],[""157"",""VINO TINTO"",""140303"",""M"",24,""9990001162337""],[""157"",""VINO TINTO"",""140303"",""L"",24,""9990001162344""],[""157"",""VINO TINTO"",""140303"",""XL"",24,""9990001162351""],[""191"",""MARRON"",""140303"",""M"",22,""9990001162368""],[""191"",""MARRON"",""140303"",""L"",22,""9990001162375""],[""191"",""MARRON"",""140303"",""XL"",22,""9990001162382""]]"
809858,BLUSA DAMA    MANGA CORTA,2390,540,"[[""103"",""OFF WHITE"",""809858"",""S"",32,""9990001161224""],[""103"",""OFF WHITE"",""809858"",""M"",64,""9990001161231""],[""103"",""OFF WHITE"",""809858"",""L"",64,""9990001161248""],[""105"",""PALO DE ROSA"",""809858"",""S"",44,""9990001161255""],[""105"",""PALO DE ROSA"",""809858"",""M"",88,""9990001161262""],[""105"",""PALO DE ROSA"",""809858"",""L"",88,""9990001161279""],[""153"",""VERDE OLIVA"",""809858"",""S"",32,""9990001161286""],[""153"",""VERDE OLIVA"",""809858"",""M"",64,""9990001161293""],[""153"",""VERDE OLIVA"",""809858"",""L"",64,""9990001161309""]]"
809858,BLUSA DAMA    MANGA CORTA,2391,580,"[[""008"",""ARENA"",""809858"",""S"",34,""9990001161316""],[""008"",""ARENA"",""809858"",""M"",68,""9990001161323""],[""008"",""ARENA"",""809858"",""L"",68,""9990001161330""],[""072"",""KAKY"",""809858"",""S"",42,""9990001161347""],[""072"",""KAKY"",""809858"",""M"",84,""9990001161354""],[""072"",""KAKY"",""809858"",""L"",84,""9990001161361""],[""090"",""NEGRO"",""809858"",""S"",40,""9990001161378""],[""090"",""NEGRO"",""809858"",""M"",80,""9990001161385""],[""090"",""NEGRO"",""809858"",""L"",80,""9990001161392""]]"
809883,BLUSA DAMA    MANGA RODADA    CUELLO SESGADO    HERRAJE EN E,2392,570,"[[""008"",""ARENA"",""809883"",""M"",30,""9990001161835""],[""008"",""ARENA"",""809883"",""L"",30,""9990001161842""],[""008"",""ARENA"",""809883"",""XL"",15,""9990001161859""],[""008"",""ARENA"",""809883"",""2XL"",15,""9990001161866""],[""072"",""KAKY"",""809883"",""M"",32,""9990001161873""],[""072"",""KAKY"",""809883"",""L"",32,""9990001161880""],[""072"",""KAKY"",""809883"",""XL"",16,""9990001161897""],[""072"",""KAKY"",""809883"",""2XL"",16,""9990001161903""],[""090"",""NEGRO"",""809883"",""M"",30,""9990001161910""],[""090"",""NEGRO"",""809883"",""L"",30,""9990001161927""],[""090"",""NEGRO"",""809883"",""XL"",15,""9990001161934""],[""090"",""NEGRO"",""809883"",""2XL"",15,""9990001161941""],[""103"",""OFF WHITE"",""809883"",""M"",34,""9990001161958""],[""103"",""OFF WHITE"",""809883"",""L"",34,""9990001161965""],[""103"",""OFF WHITE"",""809883"",""XL"",17,""9990001161972""],[""103"",""OFF WHITE"",""809883"",""2XL"",17,""9990001161989""],[""105"",""PALO DE ROSA"",""809883"",""M"",32,""9990001161996""],[""105"",""PALO DE ROSA"",""809883"",""L"",32,""9990001162009""],[""105"",""PALO DE ROSA"",""809883"",""XL"",16,""9990001162016""],[""105"",""PALO DE ROSA"",""809883"",""2XL"",16,""9990001162023""],[""153"",""VERDE OLIVA"",""809883"",""M"",32,""9990001162030""],[""153"",""VERDE OLIVA"",""809883"",""L"",32,""9990001162047""],[""153"",""VERDE OLIVA"",""809883"",""XL"",16,""9990001162054""],[""153"",""VERDE OLIVA"",""809883"",""2XL"",16,""9990001162061""]]"
803055,BLUSA CORTA  MANGA SISA COLLARIN   ECONOMICA,2393,7,"[[""057"",""GRIS CLARO"",""803055"",""L"",2,""9990001151041""],[""090"",""NEGRO"",""803055"",""L"",3,""9990001073046""],[""155"",""VERDE SALVIA"",""803055"",""L"",2,""9990001155445""]]"
BOX338,"DUO BOXER NIÑO SOLO FONDO, ELASTICO 80GRADOS EN CINTURA, TE",2394,40,"[[""151"",""VERDE MILITAR"",""BOX338"",""6"",20,""9990001155421""],[""151"",""VERDE MILITAR"",""BOX338"",""8"",20,""9990001155438""]]"
MB7151,BLUSA DAMA DE TIRAS CON COPAS Y CIERRE EN POSTERIOR,2395,366,"[[""008"",""ARENA"",""MB7151"",""S"",38,""9990001163716""],[""008"",""ARENA"",""MB7151"",""M"",38,""9990001163723""],[""008"",""ARENA"",""MB7151"",""L"",38,""9990001163730""],[""090"",""NEGRO"",""MB7151"",""S"",42,""9990001163747""],[""090"",""NEGRO"",""MB7151"",""M"",42,""9990001163754""],[""090"",""NEGRO"",""MB7151"",""L"",42,""9990001163761""],[""105"",""PALO DE ROSA"",""MB7151"",""S"",42,""9990001163778""],[""105"",""PALO DE ROSA"",""MB7151"",""M"",42,""9990001163785""],[""105"",""PALO DE ROSA"",""MB7151"",""L"",42,""9990001163792""]]"
U23739,POLO HOMBRE  MANGA CORTA  CON  CARTERA CON 3  BOTONES,2396,357,"[[""090"",""NEGRO"",""U23739"",""S"",12,""9990001162832""],[""090"",""NEGRO"",""U23739"",""M"",28,""9990001162849""],[""090"",""NEGRO"",""U23739"",""L"",24,""9990001162856""],[""090"",""NEGRO"",""U23739"",""XL"",24,""9990001162863""],[""103"",""OFF WHITE"",""U23739"",""S"",18,""9990001162870""],[""103"",""OFF WHITE"",""U23739"",""M"",39,""9990001162887""],[""103"",""OFF WHITE"",""U23739"",""L"",36,""9990001162894""],[""103"",""OFF WHITE"",""U23739"",""XL"",36,""9990001162900""],[""153"",""VERDE OLIVA"",""U23739"",""S"",20,""9990001162917""],[""153"",""VERDE OLIVA"",""U23739"",""M"",40,""9990001162924""],[""153"",""VERDE OLIVA"",""U23739"",""L"",40,""9990001162931""],[""153"",""VERDE OLIVA"",""U23739"",""XL"",40,""9990001162948""]]"
U24086,CAMISETA MGA CORTA CLLO REDONDO CON AVERTURA,2397,455,"[[""090"",""NEGRO"",""U24086"",""S"",24,""9990001162719""],[""090"",""NEGRO"",""U24086"",""M"",48,""9990001162726""],[""090"",""NEGRO"",""U24086"",""L"",48,""9990001162733""],[""090"",""NEGRO"",""U24086"",""XL"",48,""9990001162740""],[""103"",""OFF WHITE"",""U24086"",""S"",20,""9990001162757""],[""103"",""OFF WHITE"",""U24086"",""M"",40,""9990001162764""],[""103"",""OFF WHITE"",""U24086"",""L"",40,""9990001162771""],[""103"",""OFF WHITE"",""U24086"",""XL"",40,""9990001162788""],[""153"",""VERDE OLIVA"",""U24086"",""S"",21,""9990001162795""],[""153"",""VERDE OLIVA"",""U24086"",""M"",42,""9990001162801""],[""153"",""VERDE OLIVA"",""U24086"",""L"",42,""9990001162818""],[""153"",""VERDE OLIVA"",""U24086"",""XL"",42,""9990001162825""]]"
140309,ENTERIZO DAMA    LARGO    DE TIRAS,2398,182,"[[""090"",""NEGRO"",""140309"",""M"",78,""9990001012908""],[""090"",""NEGRO"",""140309"",""L"",52,""9990001012915""],[""090"",""NEGRO"",""140309"",""XL"",52,""9990001012922""]]"
MB7332,"BLUSA DAMA MANGA CORTA CON BOLEROS, ESCOTE EN Y TUNEL DELANT",2399,144,"[[""090"",""NEGRO"",""MB7332"",""S"",36,""9990001190385""],[""090"",""NEGRO"",""MB7332"",""M"",36,""9990001190392""],[""103"",""OFF WHITE"",""MB7332"",""S"",36,""9990001190408""],[""103"",""OFF WHITE"",""MB7332"",""M"",36,""9990001190415""]]"
806102,BLUSA DAMA CAMPESINA CON ELASTICOS EN MANGAS Y ESCOTE,2400,220,"[[""103"",""OFF WHITE"",""806102"",""S"",28,""9990001162986""],[""103"",""OFF WHITE"",""806102"",""M"",56,""9990001162993""],[""103"",""OFF WHITE"",""806102"",""L"",56,""9990001163006""],[""157"",""VINO TINTO"",""806102"",""S"",16,""9990001163013""],[""157"",""VINO TINTO"",""806102"",""M"",32,""9990001163020""],[""157"",""VINO TINTO"",""806102"",""L"",32,""9990001163037""]]"
809805,BLUSA DAMA CUELLO EN U,2401,438,"[[""008"",""ARENA"",""809805"",""S"",48,""9990001160647""],[""008"",""ARENA"",""809805"",""M"",51,""9990001160654""],[""008"",""ARENA"",""809805"",""L"",48,""9990001160661""],[""103"",""OFF WHITE"",""809805"",""S"",48,""9990001160678""],[""103"",""OFF WHITE"",""809805"",""M"",48,""9990001160685""],[""103"",""OFF WHITE"",""809805"",""L"",48,""9990001160692""],[""153"",""VERDE OLIVA"",""809805"",""S"",48,""9990001160708""],[""153"",""VERDE OLIVA"",""809805"",""M"",51,""9990001160715""],[""153"",""VERDE OLIVA"",""809805"",""L"",48,""9990001160722""]]"
809805,BLUSA DAMA CUELLO EN U,2402,441,"[[""013"",""AZUL CLARO"",""809805"",""S"",48,""9990001160739""],[""013"",""AZUL CLARO"",""809805"",""M"",48,""9990001160746""],[""013"",""AZUL CLARO"",""809805"",""L"",48,""9990001160753""],[""090"",""NEGRO"",""809805"",""S"",48,""9990001160760""],[""090"",""NEGRO"",""809805"",""M"",48,""9990001160777""],[""090"",""NEGRO"",""809805"",""L"",48,""9990001160784""],[""105"",""PALO DE ROSA"",""809805"",""S"",51,""9990001160791""],[""105"",""PALO DE ROSA"",""809805"",""M"",51,""9990001160807""],[""105"",""PALO DE ROSA"",""809805"",""L"",51,""9990001160814""]]"
MB2685,BLUSA DAMA DE TIRAS    TEJIDO PLANO,2403,324,"[[""090"",""NEGRO"",""MB2685"",""M"",54,""9990001160821""],[""090"",""NEGRO"",""MB2685"",""L"",54,""9990001160838""],[""090"",""NEGRO"",""MB2685"",""XL"",54,""9990001160845""],[""103"",""OFF WHITE"",""MB2685"",""M"",54,""9990001073459""],[""103"",""OFF WHITE"",""MB2685"",""L"",54,""9990001073442""],[""103"",""OFF WHITE"",""MB2685"",""XL"",54,""9990001073466""]]"
809805,BLUSA DAMA CUELLO EN U,2404,433,"[[""008"",""ARENA"",""809805"",""S"",48,""9990001160647""],[""008"",""ARENA"",""809805"",""M"",51,""9990001160654""],[""008"",""ARENA"",""809805"",""L"",48,""9990001160661""],[""103"",""OFF WHITE"",""809805"",""S"",48,""9990001160678""],[""103"",""OFF WHITE"",""809805"",""M"",51,""9990001160685""],[""103"",""OFF WHITE"",""809805"",""L"",48,""9990001160692""],[""153"",""VERDE OLIVA"",""809805"",""S"",45,""9990001160708""],[""153"",""VERDE OLIVA"",""809805"",""M"",49,""9990001160715""],[""153"",""VERDE OLIVA"",""809805"",""L"",45,""9990001160722""]]"
809805,BLUSA DAMA CUELLO EN U,2405,441,"[[""013"",""AZUL CLARO"",""809805"",""S"",48,""9990001160739""],[""013"",""AZUL CLARO"",""809805"",""M"",48,""9990001160746""],[""013"",""AZUL CLARO"",""809805"",""L"",48,""9990001160753""],[""090"",""NEGRO"",""809805"",""S"",48,""9990001160760""],[""090"",""NEGRO"",""809805"",""M"",48,""9990001160777""],[""090"",""NEGRO"",""809805"",""L"",48,""9990001160784""],[""105"",""PALO DE ROSA"",""809805"",""S"",51,""9990001160791""],[""105"",""PALO DE ROSA"",""809805"",""M"",51,""9990001160807""],[""105"",""PALO DE ROSA"",""809805"",""L"",51,""9990001160814""]]"
